Java developer | Paddy Power Betfair | http://tinyurl.com/qq3loy9
UI Developer (FanDuel team) | Paddy Power Betfair | http://tinyurl.com/wrxsfw8
Java Back-End and Front-End Internship 2020 | Evozon | http://tinyurl.com/t5e4cnn
Customer Support Engineer | SDL | http://tinyurl.com/sot7asg
Application Developer Java | IBM | http://tinyurl.com/vwfyxyu
Java developer | Streamaxia | http://tinyurl.com/qs3vvad
Senior Data QA Engineer | Paddy Power Betfair | http://tinyurl.com/wcuchv8
Junior / Mid Backend Developer (Java/ Node.js) | Xoomworks | http://tinyurl.com/u7j64tf
Senior Data QA Engineer | Betfair Romania Development | http://tinyurl.com/ujp34zb
Junior Software Engineer Java (f/m) | MHP – A Porsche Company | http://tinyurl.com/vmpejt2
Java developer | Betfair Romania Development | http://tinyurl.com/yx4dy9nr
Java / Android developer | Streamaxia | http://tinyurl.com/vxv7fh9
DevOps Engineer | Paddy Power Betfair | http://tinyurl.com/waa4ayb
Mid/Senior Java Developer (Cluj-Napoca) | Banca Transilvania | http://tinyurl.com/ss3ane4
Java Developer | Accenture Industrial Software Solutions SA | http://tinyurl.com/yx74nzoy
Java Programmer - Innovative Projects | ServUsTECH | http://tinyurl.com/tbcuy9z
Java Developer | Adecco Romania | http://tinyurl.com/r5c73l3
"Java Developer, Cluj | Optimaize - NameAPI | http://tinyurl.com/tshq29v"
Sr Software Development Engineer - Productivity Applications | GoDaddy Services | http://tinyurl.com/vywab7z
SAP Basis Consultant / Administrator(Professional) | Axians Infoma Romania SRL | http://tinyurl.com/tndxsd4
Java Programmer - Distributed Architecture | ServUsTECH | http://tinyurl.com/uc8h87s
IT Business Consultant (Cluj-Napoca) | ITIVITI (former Ullink) | http://tinyurl.com/sd35uq5
Full Stack Developer - 120961 | Siemens | http://tinyurl.com/vun5b9y
Programator junior - Brasov / Cluj / Bucuresti / Tg. Mures | CRIsoft - Christian Gavrila SRL | http://tinyurl.com/rgv62m6
Android Developer | KeepCalling | http://tinyurl.com/yx44mk6l
"L1 Technical Support Internship, Cluj-Napoca | ITIVITI (former Ullink) | http://tinyurl.com/vznyh5f"
Bioinformatics Software Engineer | Smedix Inc | http://tinyurl.com/vs497r4
Test Automation Engineer & DevOps - Network and IT Solutions | Frequentis Romania SRL | http://tinyurl.com/von3e78
Application SW Engineer | Adecco Romania | http://tinyurl.com/rqcdqas
